Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,no,central,1e-06,82.18369817733765,11,2.6630506626246515e-10,2.2138098697933317e-05,nan,False
fixed,no,central,1e-08,87.14516735076904,7,49902.964998055024,2919.7697782284304,nan,False
fixed,no,central,1e-10,19141.693843841553,6,50412.668556625795,2941.2065312860227,nan,False
fixed,no,central,1e-12,89.05089807510376,9,50412.723110946856,2946.1002878119207,nan,False
sampled,yes,adaptive_forward,0.01,86.88834476470947,10,8.824392964076246,0.7300180229980835,nan,False
sampled,yes,adaptive_forward,0.0001,84.1048629283905,9,8.892301133049054e-05,0.006197222534307987,nan,False
sampled,yes,adaptive_forward,1e-06,80.56971287727356,9,5.383258155289668e-07,0.0008333816759240943,nan,False
sampled,yes,adaptive_forward,1e-08,80.22399759292603,9,50286.09543656632,2935.669744148795,nan,False
sampled,yes,adaptive_forward,1e-10,168.83264803886414,9,50412.69833571288,2940.5380496453654,nan,False
sampled,yes,adaptive_forward,1e-12,80.1211462020874,9,50412.72311730341,2910.7650083834637,nan,False
sampled,yes,adaptive_backward,0.01,79.84606671333313,18,0.0075964350499588855,8.979418931627388,nan,False
sampled,yes,adaptive_backward,0.0001,80.68572926521301,18,1.343671685008043e-05,0.012617557010589697,nan,False
sampled,yes,adaptive_backward,1e-06,81.0447244644165,18,8.477612394878486e-11,3.8510398599858655e-05,nan,False
sampled,yes,adaptive_backward,1e-08,82.16492867469788,15,50133.6681082015,2929.3259906249214,nan,False
sampled,yes,adaptive_backward,1e-10,82.93434977531433,12,50412.69825901286,2940.539498915327,nan,False
sampled,yes,adaptive_backward,1e-12,91.80705761909485,14,50412.72311677503,2910.910504803753,nan,False
sampled,yes,adaptive_central,0.01,80.8135118484497,13,1.5309283662815256e-06,0.06550478740845873,nan,False
sampled,yes,adaptive_central,0.0001,65.94738626480103,12,3.7069952867980464e-13,8.293545942360597e-06,0.9942898821802586,True
sampled,yes,adaptive_central,1e-06,66.09724593162537,12,1.0712383535869308e-13,8.06714834582661e-07,0.9913336570161984,True
